timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753205257523,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,403,0,1,1,null,0,0,0
1753205257858,0,Debug Sampler,200,OK,Thread Group 1-2,text,true,,419,0,2,2,null,0,0,0
1753205258189,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,407,0,3,3,null,0,0,0
1753205258190,53,NAV time,200,OK,Thread Group 1-3,text,true,,33927,163,3,3,https://staticassets.zerodha.com/coin/historical-nav/INF760K01JC6.json,51,0,22
1753205257860,93,NAV time,200,OK,Thread Group 1-2,text,true,,62742,163,2,2,https://staticassets.zerodha.com/coin/historical-nav/INF247L01445.json,83,0,53
1753205257565,760,NAV time,200,OK,Thread Group 1-1,text,true,,69607,163,3,3,https://staticassets.zerodha.com/coin/historical-nav/INF966L01689.json,753,0,724
1753205347129,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,403,0,1,1,null,0,0,0
1753205347463,0,Debug Sampler,200,OK,Thread Group 1-2,text,true,,419,0,2,2,null,0,0,0
1753205347796,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,407,0,3,3,null,0,0,0
1753205347796,58,NAV time,200,OK,Thread Group 1-3,text,true,,33927,163,3,3,https://staticassets.zerodha.com/coin/historical-nav/INF760K01JC6.json,56,0,22
1753205347464,109,NAV time,200,OK,Thread Group 1-2,text,true,,62742,163,2,2,https://staticassets.zerodha.com/coin/historical-nav/INF247L01445.json,99,0,47
1753205347175,687,NAV time,200,OK,Thread Group 1-1,text,true,,69607,163,3,3,https://staticassets.zerodha.com/coin/historical-nav/INF966L01689.json,678,0,647
1753206366835,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,402,0,1,1,null,0,0,0
1753206367169,1,Debug Sampler,200,OK,Thread Group 1-2,text,true,,419,0,2,2,null,0,0,0
1753206367497,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,407,0,3,3,null,0,0,0
1753206366885,239,NAV time,200,OK,Thread Group 1-1,text,true,,69613,163,1,1,https://staticassets.zerodha.com/coin/historical-nav/INF966L01689.json,231,0,202
1753206367170,49,NAV time,200,OK,Thread Group 1-2,text,true,,62741,163,2,2,https://staticassets.zerodha.com/coin/historical-nav/INF247L01445.json,46,0,23
1753206367498,566,NAV time,200,OK,Thread Group 1-3,text,true,,33922,163,1,1,https://staticassets.zerodha.com/coin/historical-nav/INF760K01JC6.json,564,0,526
1753206539316,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,403,0,1,1,null,0,0,0
1753206539649,1,Debug Sampler,200,OK,Thread Group 1-2,text,true,,419,0,2,2,null,0,0,0
1753206539982,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,407,0,3,3,null,0,0,0
1753206539650,50,NAV time,200,OK,Thread Group 1-2,text,true,,62741,163,2,2,https://staticassets.zerodha.com/coin/historical-nav/INF247L01445.json,46,0,22
1753206539363,197,NAV time,200,OK,Thread Group 1-1,text,true,,69613,163,1,1,https://staticassets.zerodha.com/coin/historical-nav/INF966L01689.json,189,0,158
1753206539983,598,NAV time,200,OK,Thread Group 1-3,text,true,,33922,163,1,1,https://staticassets.zerodha.com/coin/historical-nav/INF760K01JC6.json,596,0,576
