company_name,corpus_per,ticker
"Coforge Ltd.",10.48040063,COFORGE
"Persistent Systems Ltd.",9.5960289,PERSISTENT
"Trent Ltd.",9.39052609,TRENT
"Dixon Technologies (India) Ltd.",9.06600641,DIXON
"Kalyan Jewellers India Ltd.",7.56758988,KALYANKJIL
"Polycab India Ltd.",5.05400007,POLYCAB
"Kei Industries Ltd.",4.01598931,KEI
"Bharti Hexacom Ltd.",3.98773934,BHARTIHEXA
"Max Healthcare Institute Ltd.",3.8486239,MAXHEALTH
"Kaynes Technology India Ltd.",2.94912199,KAYNES
"One97 Communications Ltd.",2.82235425,PAYTM
"Aditya Birla Capital Ltd.",2.50806204,ABCAPITAL
"Hitachi Energy India Ltd.",2.11854396,POWERINDIA
"Prestige Estates Projects Ltd.",2.00574071,PRESTIGE
"Supreme Industries Ltd.",1.99288262,SUPREMEIND
"Tube Investments Of India Ltd.",1.97526522,TIINDIA
"KPIT Technologies Ltd.",1.73617165,KPITTECH
"The Phoenix Mills Ltd.",0.82684313,PHOENIXLTD
"Balkrishna Industries Ltd.",0.68827469,BALKRISIND
"Mankind Pharma Ltd.",0.64470241,MANKIND
"JIO Financial Services Ltd.",0.098856,JIOFIN
"PB Fintech Ltd.",0.00126977,POLICYBZR
