timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753280000701,51,NAV time,200,OK,Thread Group 1-3,text,true,,33947,163,3,3,https://staticassets.zerodha.com/coin/historical-nav/INF760K01JC6.json,48,0,21
1753280000368,61,NAV time,200,OK,Thread Group 1-2,text,true,,62785,163,2,2,https://staticassets.zerodha.com/coin/historical-nav/INF247L01445.json,58,0,23
1753280000075,222,NAV time,200,OK,Thread Group 1-1,text,true,,69648,163,1,1,https://staticassets.zerodha.com/coin/historical-nav/INF966L01689.json,213,0,177
1753280000876,1693,Grow,200,OK,Thread Group 1-3,text,true,,3738522,8455,3,3,https://groww.in/mutual-funds/canara-robeco-small-cap-fund-direct-growth,302,0,43
1753280000876,319,Grow-0,200,OK,Thread Group 1-3,text,true,,423458,165,3,3,https://groww.in/mutual-funds/canara-robeco-small-cap-fund-direct-growth,302,0,43
1753280001256,46,Grow-1,200,OK,Thread Group 1-3,bin,true,,5287,132,3,3,https://groww.in/favicon32x32-groww.ico,46,0,0
1753280001303,70,Grow-2,200,OK,Thread Group 1-3,text,true,,109712,203,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/161459f0e2a48641.css,67,0,47
1753280001562,22,Grow-3,200,OK,Thread Group 1-3,text,true,,21394,203,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/4bb1f5903c32e712.css,22,0,0
1753280001599,23,Grow-4,200,OK,Thread Group 1-3,text,true,,23101,203,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/79ec7c0309b27470.css,22,0,0
1753280001637,23,Grow-5,200,OK,Thread Group 1-3,text,true,,25908,203,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/css/f51edef650114752.css,23,0,0
1753280001685,22,Grow-6,200,OK,Thread Group 1-3,text,true,,92824,215,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js,20,0,0
1753280001707,23,Grow-7,200,OK,Thread Group 1-3,text,true,,24085,213,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/webpack-4dc24e0e0a6ffd6f.js,23,0,0
1753280001730,20,Grow-8,200,OK,Thread Group 1-3,text,true,,131489,215,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/framework-5dad600cad544b5c.js,18,0,0
1753280001750,28,Grow-9,200,OK,Thread Group 1-3,text,true,,124140,210,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/main-8ae12867921b32d8.js,26,0,0
1753280001778,75,Grow-10,200,OK,Thread Group 1-3,text,true,,1766196,216,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/pages/_app-85cad8337e2d95cc.js,19,0,0
1753280001853,32,Grow-11,200,OK,Thread Group 1-3,text,true,,10847,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/77612-8a27811f4c56a186.js,32,0,0
1753280001885,21,Grow-12,200,OK,Thread Group 1-3,text,true,,16595,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/37021-3d1b47157bda3de0.js,21,0,0
1753280001907,23,Grow-13,200,OK,Thread Group 1-3,text,true,,12089,210,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/4299-446ef7a957d92251.js,23,0,0
1753280001930,21,Grow-14,200,OK,Thread Group 1-3,text,true,,30285,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/67336-a6337e5424e9bcff.js,21,0,0
1753280001951,20,Grow-15,200,OK,Thread Group 1-3,text,true,,26216,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/63035-7261f8e1909d7239.js,20,0,0
